"id","high_risk","outcome"
1,TRUE,4
2,FALSE,1
3,FALSE,2
4,TRUE,4
5,FALSE,4
6,FALSE,0
7,FALSE,1
8,FALSE,3
9,FALSE,1
10,FALSE,1
11,FALSE,3
12,FALSE,3
13,FALSE,3
14,FALSE,2
15,TRUE,4
16,FALSE,1
17,FALSE,2
18,FALSE,1
19,FALSE,3
20,TRUE,4
21,FALSE,2
22,TRUE,4
23,FALSE,1
24,FALSE,1
25,TRUE,4
26,TRUE,4
27,FALSE,2
28,FALSE,0
29,FALSE,1
30,FALSE,1
31,FALSE,1
32,FALSE,1
33,FALSE,0
34,FALSE,1
35,FALSE,2
36,FALSE,1
37,FALSE,2
38,FALSE,1
39,FALSE,0
40,FALSE,0
41,FALSE,1
42,FALSE,2
43,FALSE,2
44,FALSE,2
45,FALSE,2
46,FALSE,2
47,FALSE,0
48,TRUE,4
49,FALSE,1
50,FALSE,1
51,FALSE,0
52,FALSE,1
53,FALSE,2
54,FALSE,2
55,TRUE,4
56,FALSE,0
57,TRUE,4
58,FALSE,1
59,FALSE,2
60,FALSE,0
61,FALSE,2
62,FALSE,1
63,FALSE,0
64,FALSE,3
65,FALSE,2
66,FALSE,1
67,FALSE,3
68,FALSE,2
69,FALSE,0
70,TRUE,4
71,FALSE,1
72,FALSE,1
73,FALSE,3
74,FALSE,2
75,FALSE,2
76,TRUE,4
77,FALSE,1
78,FALSE,0
79,FALSE,0
80,FALSE,2
81,FALSE,2
82,FALSE,1
83,FALSE,1
84,FALSE,1
85,TRUE,4
86,FALSE,2
87,FALSE,2
88,FALSE,1
89,FALSE,3
90,FALSE,0
91,FALSE,2
92,FALSE,1
93,FALSE,3
94,FALSE,3
95,FALSE,1
96,FALSE,1
97,TRUE,4
98,FALSE,1
99,FALSE,1
100,FALSE,1
101,FALSE,0
102,TRUE,4
103,FALSE,2
104,FALSE,1
105,FALSE,2
106,TRUE,4
107,FALSE,2
108,TRUE,4
109,TRUE,4
110,FALSE,3
111,TRUE,4
112,TRUE,4
113,TRUE,4
114,FALSE,0
115,FALSE,0
116,TRUE,4
117,FALSE,3
118,FALSE,2
119,FALSE,3
120,FALSE,1
121,FALSE,1
122,FALSE,4
123,FALSE,0
124,FALSE,0
125,FALSE,1
126,FALSE,1
127,FALSE,1
128,FALSE,1
129,FALSE,1
130,FALSE,2
131,FALSE,2
132,FALSE,3
133,TRUE,4
134,TRUE,4
135,FALSE,1
136,FALSE,2
137,FALSE,2
138,FALSE,2
139,FALSE,2
140,FALSE,2
141,FALSE,1
142,FALSE,0
143,FALSE,0
144,FALSE,1
145,FALSE,1
146,FALSE,1
147,FALSE,1
148,FALSE,2
149,FALSE,1
150,FALSE,1
151,FALSE,1
152,FALSE,2
153,FALSE,3
154,FALSE,1
155,FALSE,2
156,TRUE,4
157,TRUE,4
158,FALSE,2
159,FALSE,1
160,FALSE,2
161,FALSE,0
162,FALSE,2
163,FALSE,2
164,FALSE,0
165,FALSE,1
166,FALSE,0
167,FALSE,2
168,FALSE,2
169,FALSE,2
170,FALSE,1
171,TRUE,4
172,FALSE,2
173,TRUE,4
174,TRUE,4
175,TRUE,4
176,FALSE,1
